NOC,ranking_method,ranking
AUT,unadj_ranking,5
AUT,gdp_ranking,4
AUT,pop_ranking,4
CHN,unadj_ranking,13
CHN,gdp_ranking,3
CHN,pop_ranking,36
FIN,unadj_ranking,7
FIN,gdp_ranking,9
FIN,pop_ranking,3
GER,unadj_ranking,1
GER,gdp_ranking,2
GER,pop_ranking,11
KOR,unadj_ranking,14
KOR,gdp_ranking,15
KOR,pop_ranking,20
LIE,unadj_ranking,24
LIE,gdp_ranking,38
LIE,pop_ranking,1
NOR,unadj_ranking,3
NOR,gdp_ranking,6
NOR,pop_ranking,2
RUS,unadj_ranking,2
RUS,gdp_ranking,1
RUS,pop_ranking,15
SUI,unadj_ranking,9
SUI,gdp_ranking,16
SUI,pop_ranking,5
SWE,unadj_ranking,8
SWE,gdp_ranking,12
SWE,pop_ranking,6
USA,unadj_ranking,4
USA,gdp_ranking,5
USA,pop_ranking,22
